City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Inongo,CD,73.18,overcast clouds,-1.95,18.2667,Hotel Du Lac
554,Korla,CN,73.83,broken clouds,41.7597,86.1469,Gulisitan Hotel
556,Fare,PF,81.3,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
558,Innisfail,AU,74.53,overcast clouds,-17.5333,146.0333,Moondarra Motel
560,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
561,Ponnani,IN,74.52,light rain,10.767,75.9252,Rouba Residency
562,Adeje,ES,70.56,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
563,Kampot,KH,78.44,overcast clouds,10.6167,104.1833,Two Moons Hotel
566,Mokobeng,BW,70.83,overcast clouds,-22.9965,27.6678,Omphile B. Molefhe
573,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
576,Funadhoo,MV,84.7,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
577,Liberal,US,87.04,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
580,Miri,MY,78.94,light rain,4.4148,114.0089,"Mega Hotel, Miri"
582,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
583,Najran,SA,83.05,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
587,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
592,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
600,Dangriga,BZ,84.43,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
601,Tezu,IN,72.54,scattered clouds,27.9167,96.1667,Circuit House
603,Lang Suan,TH,79.56,light rain,9.9456,99.0785,Langsuan Resort
610,Jacmel,HT,87.64,clear sky,18.2342,-72.5347,Historic Hotel Florita
611,Sulangan,PH,82.71,few clouds,11.1373,123.7228,Maia's Beach Resort
613,Conceicao Do Rio Verde,BR,70.52,clear sky,-21.8808,-45.0853,Hotel Central
615,Parauna,BR,82.83,clear sky,-16.9478,-50.4486,Hotel Serras de Paraúna
616,Isangel,VU,74.98,few clouds,-19.55,169.2667,Tanna Lodge
617,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
619,Pangkalanbuun,ID,74.7,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
623,Myitkyina,MM,73.49,clear sky,25.3833,97.4,Shwe Phyu Hotel
625,Irituia,BR,79.86,moderate rain,-1.7711,-47.4381,Hotel Irituia
626,Manggar,ID,80.83,overcast clouds,-2.8833,108.2667,Guest Hotel
627,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
630,Maragogi,BR,77.68,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
633,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
634,Salinopolis,BR,80.02,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
636,Tierralta,CO,88.41,scattered clouds,8.1736,-76.0592,Hotel La Marqueza
637,Kalemie,CD,71.83,overcast clouds,-5.9475,29.1947,Mahobilali
642,Warri,NG,77.9,broken clouds,5.5167,5.75,BON Hotel Delta
643,Bonoua,CI,82.02,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
646,Gandajika,CD,72.54,broken clouds,-6.75,23.95,Hôtel Memorial
649,Makakilo City,US,75.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
650,Alamosa,US,75.18,clear sky,37.4695,-105.87,Best Western Alamosa Inn
652,Waseca,US,72.09,clear sky,44.0777,-93.5074,American Motel
653,Sumbe,AO,76.91,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
654,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
656,Chenghai,CN,71.51,mist,23.4632,116.768,Guangdong Hotel
657,Callaway,US,82.45,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
660,Fremont,US,71.96,scattered clouds,37.5483,-121.9886,Best Western Plus Garden Court Inn
661,Cabo San Lucas,MX,88.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
663,Bonthe,SL,81.57,broken clouds,7.5264,-12.505,Bonthe Holiday Village
668,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
669,Abadan,IR,82.35,dust,30.3392,48.3043,سالن مراسمات خانه معلم
671,Kualakapuas,ID,74.82,moderate rain,-3.0091,114.3876,Guest House Izonk
672,Hirara,JP,77.79,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
677,Laibin,CN,72.81,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
678,Pasighat,IN,73.9,scattered clouds,28.0667,95.3333,Siang Guest House
680,Mercedes,AR,76.86,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
681,Mecca,SA,78.22,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
684,Ibirite,BR,79.56,scattered clouds,-20.0219,-44.0589,Rua João Ferreira de Freitas
